Date,Open,High,Low,Close,Adj Close,Volume
2015-11-25,29.084999,29.184999,28.530001,28.594999,27.896765,1172800
2015-11-27,28.629999,29.264999,28.629999,29.139999,28.428459,987600
2015-11-30,29.139999,29.320000,28.950001,29.059999,28.350410,1063000
2015-12-01,29.330000,30.115000,29.315001,29.930000,29.199167,2415400
2015-12-02,29.760000,29.850000,29.270000,29.500000,28.779667,1479400
2015-12-03,29.555000,29.764999,29.375000,29.385000,28.667479,1330200
2015-12-04,29.280001,29.995001,29.084999,29.825001,29.096733,1901800
2015-12-07,29.584999,29.875000,29.405001,29.575001,28.852840,1062000
2015-12-08,29.290001,29.465000,28.934999,29.139999,28.428459,806200
2015-12-09,28.990000,29.385000,28.469999,28.629999,27.930908,1476200
2015-12-10,29.020000,29.325001,28.870001,28.885000,28.179684,751400
2015-12-11,28.535000,28.605000,28.059999,28.110001,27.423609,1029200
2015-12-14,28.405001,28.870001,28.405001,28.670000,27.969934,1922600
2015-12-15,29.049999,29.355000,29.049999,29.254999,28.540649,2158600
2015-12-16,29.420000,29.879999,29.225000,29.780001,29.052834,1633200
2015-12-17,29.740000,30.049999,29.360001,29.805000,29.077221,1334400
2015-12-18,29.790001,30.094999,29.299999,29.299999,28.584551,2305200
2015-12-21,29.620001,29.930000,29.620001,29.895000,29.165024,1221600
2015-12-22,29.799999,30.365000,29.745001,30.230000,29.491844,1428400
2015-12-23,30.475000,30.495001,30.094999,30.165001,29.428432,614600
2015-12-24,30.084999,30.475000,29.934999,30.245001,29.506477,296600
2015-12-28,30.215000,30.240000,30.010000,30.200001,29.462578,344800
2015-12-29,30.295000,30.555000,30.219999,30.514999,29.769884,536800
2015-12-30,30.465000,30.660000,30.290001,30.555000,29.808907,909400
2015-12-31,30.525000,30.955000,30.355000,30.799999,30.047926,1042800
2016-01-04,30.150000,30.200001,29.674999,29.930000,29.199167,1069600
2016-01-05,30.020000,30.415001,30.020000,30.250000,29.511354,1346800
2016-01-06,30.045000,30.430000,29.930000,30.295000,29.555254,1520600
2016-01-07,29.760000,29.950001,29.410000,29.430000,28.711378,1056400
2016-01-08,29.750000,29.959999,29.200001,29.245001,28.530895,841400
2016-01-11,29.610001,29.844999,29.340000,29.730000,29.004051,723400
2016-01-12,29.725000,29.990000,29.379999,29.945000,29.213802,2171400
2016-01-13,29.940001,30.250000,29.745001,29.795000,29.067467,1132600
2016-01-14,29.815001,29.850000,29.115000,29.360001,28.643087,999200
2016-01-15,28.709999,28.995001,28.025000,28.120001,27.433365,1832800
2016-01-19,28.309999,28.459999,28.139999,28.299999,27.608971,2153000
2016-01-20,27.660000,27.735001,27.080000,27.285000,26.618753,1765800
2016-01-21,27.385000,27.385000,26.565001,27.145000,26.482172,2603800
2016-01-22,27.799999,27.799999,27.215000,27.424999,26.755337,1867800
2016-01-25,27.375000,28.059999,27.315001,27.754999,27.077276,1234000
2016-01-26,27.795000,28.320000,27.674999,28.225000,27.535803,1098800
2016-01-27,28.205000,28.975000,28.180000,28.795000,28.091885,2760200
2016-01-28,28.570000,29.084999,28.440001,28.860001,28.155296,1863000
2016-01-29,29.190001,30.215000,29.139999,30.165001,29.428432,2407400
2016-02-01,29.844999,30.240000,29.705000,29.965000,29.233315,1330400
2016-02-02,29.405001,29.770000,29.280001,29.334999,28.618698,1716200
2016-02-03,29.299999,29.370001,28.780001,29.100000,28.389437,1589800
2016-02-04,29.225000,29.915001,29.010000,29.445000,28.726009,865800
2016-02-05,29.469999,29.610001,28.969999,29.090000,28.379679,579600
2016-02-08,28.549999,28.565001,28.035000,28.410000,27.716284,1506200
2016-02-09,28.129999,28.610001,28.084999,28.510000,27.813843,1187200
2016-02-10,28.440001,28.795000,28.184999,28.530001,27.833355,1152600
2016-02-11,27.475000,27.610001,26.850000,26.975000,26.316324,4194400
2016-02-12,27.360001,27.635000,26.910000,27.615000,26.940699,2454400
2016-02-16,27.940001,28.225000,27.235001,27.315001,26.648022,1743000
2016-02-17,27.469999,28.165001,27.285000,27.900000,27.218735,2030600
2016-02-18,27.900000,27.965000,27.480000,27.680000,27.004108,1309400
2016-02-19,27.459999,27.600000,27.299999,27.350000,26.682169,1048000
2016-02-22,27.855000,27.855000,27.320000,27.655001,26.979723,1691600
2016-02-23,27.174999,27.325001,26.379999,26.389999,25.745609,1894800
2016-02-24,25.865000,26.200001,25.555000,26.170000,25.530979,2522200
2016-02-25,26.035000,26.200001,25.750000,25.889999,25.257816,911800
2016-02-26,26.490000,26.785000,26.270000,26.290001,25.648052,1177200
2016-02-29,26.875000,26.920000,26.370001,26.410000,25.765120,1848400
2016-03-01,26.674999,27.950001,26.570000,27.850000,27.169960,2922800
2016-03-02,28.125000,28.459999,28.035000,28.400000,27.706528,1203200
2016-03-03,28.584999,28.605000,27.745001,28.305000,27.613850,2264600
2016-03-04,28.389999,28.754999,28.225000,28.575001,27.877256,813800
2016-03-07,28.405001,28.625000,28.055000,28.389999,27.696772,471400
2016-03-08,28.270000,28.330000,27.879999,27.995001,27.311417,1025800
2016-03-09,28.139999,28.485001,27.955000,28.170000,27.482143,1480600
2016-03-10,28.340000,28.790001,27.990000,28.125000,27.438244,2317000
2016-03-11,28.545000,28.770000,28.250000,28.770000,28.067493,1469800
2016-03-14,28.750000,28.750000,28.465000,28.594999,27.896765,770600
2016-03-15,28.440001,28.465000,28.055000,28.209999,27.521166,1439800
2016-03-16,28.209999,28.889999,28.080000,28.860001,28.155296,1291200
2016-03-17,28.469999,28.990000,28.155001,28.915001,28.208954,1062000
2016-03-18,29.100000,29.375000,28.775000,29.334999,28.618698,1975600
2016-03-21,29.360001,29.945000,29.360001,29.815001,29.086979,1530800
2016-03-22,29.610001,29.670000,29.334999,29.530001,28.808939,653800
2016-03-23,29.440001,29.455000,29.055000,29.405001,28.686989,1089600
2016-03-24,29.250000,29.370001,29.000000,29.264999,28.550407,930600
2016-03-28,29.385000,29.415001,29.110001,29.205000,28.491869,552800
2016-03-29,29.180000,29.655001,29.155001,29.580000,28.857718,1654000
2016-03-30,29.750000,30.549999,29.684999,30.430000,29.686960,2385400
2016-03-31,30.424999,30.975000,30.190001,30.815001,30.062557,2894200
2016-04-01,30.469999,30.830000,29.995001,30.764999,30.013777,1111200
2016-04-04,30.745001,31.135000,30.639999,30.750000,29.999146,995800
2016-04-05,30.195000,30.670000,30.115000,30.350000,29.608912,3057000
2016-04-06,30.295000,30.400000,30.025000,30.370001,29.628426,1054600
2016-04-07,30.080000,30.305000,30.004999,30.080000,29.345505,1141200
2016-04-08,30.395000,30.395000,29.965000,30.070000,29.335749,1183600
2016-04-11,30.315001,30.555000,30.045000,30.055000,29.321117,1377400
2016-04-12,30.139999,30.514999,29.900000,30.500000,29.755249,1519000
2016-04-13,30.900000,31.315001,30.735001,31.125000,30.364990,1246400
2016-04-14,31.129999,31.389999,31.100000,31.355000,30.589373,822200
2016-04-15,31.270000,31.575001,31.250000,31.495001,30.725956,1114800
2016-04-18,31.285000,31.725000,30.920000,31.625000,30.852779,1049400
2016-04-19,31.684999,31.905001,31.485001,31.700001,30.925949,949000
2016-04-20,31.670000,31.750000,31.545000,31.684999,30.911314,667000
2016-04-21,31.740000,31.740000,31.280001,31.315001,30.550352,1254400
2016-04-22,31.215000,31.670000,31.090000,31.469999,30.701565,922400
2016-04-25,31.375000,31.395000,31.094999,31.334999,30.569860,612200
2016-04-26,31.674999,31.879999,31.475000,31.555000,30.784489,1403600
2016-04-27,31.735001,32.000000,31.709999,31.740000,30.964973,1263400
2016-04-28,31.330000,31.615000,31.309999,31.415001,30.647907,1343400
2016-04-29,31.719999,31.790001,31.264999,31.434999,30.667418,2007200
2016-05-02,31.275000,31.809999,31.275000,31.535000,30.764978,1040600
2016-05-03,31.370001,31.545000,30.969999,31.334999,30.569860,1261800
2016-05-04,31.205000,31.445000,31.129999,31.365000,30.599129,1038800
